cnt,article,count,price,Артикул поставщика,Бренд,Предмет,Номенклатура,Код размера (chrt_id),Артикул ИМТ,Артикул Цвета,Размер,Баркод,Розничная цена,Комплектация
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
13,BRT70KIT70/желтый (itu),13,49.0,BRT70KIT70/желтый,Байрамали,Полотенца банные,10354649.0,33574157.0,BRT70KIT70/,желтый,0.0,48330015301731,731.0,
